filename,prompt1Breed,prompt1Breed_match,prompt2Breed,prompt2Breed_match,cnnBreed,cnnBreed_match,id,breed
029202b0cf0b5d6d48c6ce7b432409ef,giant schnauzer,True,giant schnauzer,True,giant schnauzer,True,029202b0cf0b5d6d48c6ce7b432409ef,giant schnauzer
07192213791150248bfb5bbe6b0b0373,basset hound,False,basset,True,basset,True,07192213791150248bfb5bbe6b0b0373,basset
092c2cdbf133b201d7d56969bfbcc8f6,miniature schnauzer,True,miniature schnauzer,True,miniature schnauzer,True,092c2cdbf133b201d7d56969bfbcc8f6,miniature schnauzer
0a77b9015c37f39c92b5399dc29da97c,irish terrier,True,irish terrier,True,irish terrier,True,0a77b9015c37f39c92b5399dc29da97c,irish terrier
0a9f8f6543d0b33fe9474035dd5323ef,briard,True,airedale,False,briard,True,0a9f8f6543d0b33fe9474035dd5323ef,briard
0b346cec75418439f13eabdc7e96f33a,border collie,True,border collie,True,border collie,True,0b346cec75418439f13eabdc7e96f33a,border collie
0e1ac042292a573ecd0ec71b3b646997,norfolk terrier,True,norfolk terrier,True,norfolk terrier,True,0e1ac042292a573ecd0ec71b3b646997,norfolk terrier
0e94678bb5498dc6df640553bf3a1b2f,brussels griffon,False,brabancon griffon,True,brabancon griffon,True,0e94678bb5498dc6df640553bf3a1b2f,brabancon griffon
10edc6f98c2423e4e195e09a86b0d292,affenpinscher,True,affenpinscher,True,affenpinscher,True,10edc6f98c2423e4e195e09a86b0d292,affenpinscher
10f1d53bb20d5acc7c8772018399c238,dandie dinmont terrier,False,dandie dinmont,True,dandie dinmont,True,10f1d53bb20d5acc7c8772018399c238,dandie dinmont
17f15b80ab3238f1fbe5961286db0eba,whippet,True,whippet,True,whippet,True,17f15b80ab3238f1fbe5961286db0eba,whippet
18b9ef12902b52d6801bbc14c0ebd113,curly coated retriever,True,curly coated retriever,True,curly coated retriever,True,18b9ef12902b52d6801bbc14c0ebd113,curly coated retriever
1ad61e0aa827fe8f39e5592523ded6d7,alaskan malamute,False,malamute,True,malamute,True,1ad61e0aa827fe8f39e5592523ded6d7,malamute
1b288bf18ec66fa70a3eb5d8552bec2b,labrador retriever,True,labrador retriever,True,labrador retriever,True,1b288bf18ec66fa70a3eb5d8552bec2b,labrador retriever
1bd0028d5ec833dd2122122eac4bab0f,bedlington terrier,True,bedlington terrier,True,bedlington terrier,True,1bd0028d5ec833dd2122122eac4bab0f,bedlington terrier
1cfaaf0b4ea4e7c0f63e9d047ae06a2d,vizsla,True,vizsla,True,vizsla,True,1cfaaf0b4ea4e7c0f63e9d047ae06a2d,vizsla
206b7ea4d79d94742ce9731aad96d031,great pyrenees,True,great pyrenees,True,great pyrenees,True,206b7ea4d79d94742ce9731aad96d031,great pyrenees
24968d279159784894314e7679c934b1,yorkshire terrier,False,yorkshire terrier,False,silky terrier,True,24968d279159784894314e7679c934b1,silky terrier
257d7d5a3b94a225fa26aa537f6aa8d0,italian greyhound,True,italian greyhound,True,italian greyhound,True,257d7d5a3b94a225fa26aa537f6aa8d0,italian greyhound
29b06acb65e3873dfab2a7b2581d6a35,bichon frise,False,miniature poodle,False,toy poodle,True,29b06acb65e3873dfab2a7b2581d6a35,toy poodle
2e6db85e0641e14e0025fe7f0853fa89,airedale terrier,False,airedale,False,lakeland terrier,True,2e6db85e0641e14e0025fe7f0853fa89,lakeland terrier
2e86169579fd6e8d1b5028dfe4e2b53a,appenzeller sennenhund,False,entlebucher,False,appenzeller,True,2e86169579fd6e8d1b5028dfe4e2b53a,appenzeller
34ee442140822118a00578e010524641,leonberger,False,leonberg,True,leonberg,True,34ee442140822118a00578e010524641,leonberg
35f63ed3f8103464956787f28cd8e74a,australian kelpie,False,kelpie,True,kelpie,True,35f63ed3f8103464956787f28cd8e74a,kelpie
3bce79e38c75a511d7de6096ea16c8b2,bullmastiff,False,bull mastiff,True,bull mastiff,True,3bce79e38c75a511d7de6096ea16c8b2,bull mastiff
3c2b54572a0d76921cc45568129274ec,rhodesian ridgeback,True,rhodesian ridgeback,True,rhodesian ridgeback,True,3c2b54572a0d76921cc45568129274ec,rhodesian ridgeback
3d7405de56d708ac880ffb2626b95b45,siberian husky,True,siberian husky,True,siberian husky,True,3d7405de56d708ac880ffb2626b95b45,siberian husky
3f2ad3df5b64a29a9aabd75476f8d46d,yorkshire terrier,True,yorkshire terrier,True,yorkshire terrier,True,3f2ad3df5b64a29a9aabd75476f8d46d,yorkshire terrier
41ad1e6c01fa12d530a1122faaeb2917,belgian sheepdog,False,groenendael,True,groenendael,True,41ad1e6c01fa12d530a1122faaeb2917,groenendael
41f8aa08a201a2c2fa5a60ced8eadf34,samoyed,True,samoyed,True,samoyed,True,41f8aa08a201a2c2fa5a60ced8eadf34,samoyed
43b2788fc5751dd7a1b6cf8952387203,yorkshire terrier,False,yorkshire terrier,False,silky terrier,False,43b2788fc5751dd7a1b6cf8952387203,australian terrier
441ed2d94ca1a9c041aa6bbc3709719e,german shorthaired pointer,False,english springer,True,english springer,True,441ed2d94ca1a9c041aa6bbc3709719e,english springer
4493b7983fb27a8974a661afbea5fb7a,appenzeller sennenhund,False,entlebucher,True,entlebucher,True,4493b7983fb27a8974a661afbea5fb7a,entlebucher
461a2bb9907969531b94ef6e844b3db8,miniature pinscher,True,miniature pinscher,True,miniature pinscher,True,461a2bb9907969531b94ef6e844b3db8,miniature pinscher
